Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,483.200012,503.500000,425.000000,493.549988,485.965942,470848484
2022-04-01,491.000000,522.000000,490.049988,496.299988,488.673676,274734230
2022-05-01,492.649994,496.450012,438.850006,468.100006,460.907043,368134331
2022-06-01,468.000000,475.549988,430.700012,465.899994,465.899994,258464165
2022-07-01,463.350006,537.500000,460.549988,528.349976,528.349976,230548231
2022-08-01,529.049988,546.400024,508.250000,531.250000,531.250000,289740271
2022-09-01,522.250000,578.500000,516.150024,530.599976,530.599976,285685943
2022-10-01,527.599976,586.200012,518.500000,573.799988,573.799988,212788403
2022-11-01,576.349976,622.700012,568.000000,602.450012,602.450012,289212623
2022-12-01,607.849976,629.549988,570.700012,613.700012,613.700012,236062156
2023-01-01,614.950012,619.200012,525.200012,553.500000,553.500000,267234546
2023-02-01,561.400024,565.000000,499.350006,521.049988,521.049988,337894664
