Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,215.850006,258.000000,212.449997,250.649994,241.102982,699286936
2022-04-01,250.000000,273.149994,248.800003,259.549988,249.663986,443042094
2022-05-01,258.000000,282.350006,249.149994,270.649994,260.341217,462384362
2022-06-01,270.649994,275.799988,258.549988,273.500000,269.253662,263357060
2022-07-01,273.500000,305.899994,271.200012,303.049988,298.344849,316760856
2022-08-01,304.000000,321.399994,303.100006,320.500000,315.523926,245937302
2022-09-01,319.500000,349.549988,316.000000,332.200012,327.042297,313634408
2022-10-01,332.899994,353.200012,323.250000,348.700012,343.286133,250509784
2022-11-01,349.250000,361.450012,334.399994,340.000000,334.721191,256224566
2022-12-01,341.700012,347.350006,325.350006,331.549988,326.402374,191176419
2023-01-01,330.899994,355.000000,326.000000,352.350006,346.879456,218461034
2023-02-01,353.000000,394.000000,329.100006,385.100006,379.120972,347002978
