Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,1715.599976,1923.300049,1681.000000,1906.849976,1866.469360,154420688
2022-04-01,1886.849976,1910.300049,1550.000000,1567.550049,1534.354736,170696670
2022-05-01,1550.900024,1589.400024,1399.250000,1503.599976,1471.758789,176039201
2022-06-01,1513.000000,1555.000000,1367.150024,1461.900024,1446.096191,139144802
2022-07-01,1454.000000,1555.699951,1410.650024,1549.699951,1532.947021,115124683
2022-08-01,1564.000000,1631.349976,1450.000000,1492.949951,1476.810547,92398681
2022-09-01,1460.050049,1553.000000,1355.000000,1413.449951,1398.169922,171480153
2022-10-01,1412.000000,1546.400024,1386.000000,1537.650024,1521.027344,105106395
2022-11-01,1553.050049,1653.500000,1485.000000,1634.949951,1634.949951,91935458
2022-12-01,1656.199951,1672.599976,1482.449951,1508.199951,1508.199951,127679808
2023-01-01,1514.000000,1568.800049,1446.500000,1533.750000,1533.750000,142093979
2023-02-01,1542.199951,1619.750000,1528.050049,1550.650024,1550.650024,84746881
